Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR14240784_2	(1.0, 26.431405252323803)	(2.0, 13.472352057523802)	(3.0, 9.544645385368714)	(4.0, 6.042288606030121)	(5.0, 3.8253637240224005)	(6.0, 2.5889468251597587)	(7.0, 1.8407706318834163)	(8.0, 1.5402578588945373)	(9.0, 1.2506145504756196)	('>10', 11.310143201651101)	('>50', 2.5955899614232583)	('>100', 4.239394826976672)	('>500', 1.4004447781503517)	('>1k', 2.734745337092565)	('>5k', 1.293246969417541)	('>10k+', 9.88979003360654)
SRR14240785_1	(1.0, 25.445677466248963)	(2.0, 8.298611783160325)	(3.0, 4.183122620292014)	(4.0, 2.2909183945412774)	(5.0, 1.5595653095558106)	(6.0, 1.1038213747786878)	(7.0, 0.9067993209048386)	(8.0, 0.681146266490046)	(9.0, 0.6024273386060904)	('>10', 6.478543148664502)	('>50', 1.8288000455786348)	('>100', 3.167379887412844)	('>500', 1.1981785676721453)	('>1k', 3.3366196929160643)	('>5k', 1.718415560199529)	('>10k+', 37.19997322297831)
SRR14240785_2	(1.0, 35.121518028323486)	(2.0, 8.433830409792012)	(3.0, 3.9685163610504945)	(4.0, 2.1239193621734467)	(5.0, 1.4229685397191558)	(6.0, 0.9875804251208915)	(7.0, 0.7344960776189726)	(8.0, 0.6129891682364468)	(9.0, 0.5155833107280794)	('>10', 5.892245210989154)	('>50', 1.7817524525725368)	('>100', 2.834573549135983)	('>500', 0.9472457203028865)	('>1k', 3.1162610538141906)	('>5k', 2.049762795586257)	('>10k+', 29.456757534836086)
SRR14240786_1	(1.0, 25.086941824215064)	(2.0, 11.591765549280904)	(3.0, 6.654217760582802)	(4.0, 4.287997747872238)	(5.0, 2.9462948943264644)	(6.0, 2.288836370176039)	(7.0, 1.9104242033851921)	(8.0, 1.5240681936451272)	(9.0, 1.3473682124023914)	('>10', 14.558523085393407)	('>50', 3.7475288414963344)	('>100', 5.609257099714535)	('>500', 1.5943407575174053)	('>1k', 2.86739787500361)	('>5k', 1.35049298295075)	('>10k+', 12.63454460203798)
SRR14240786_2	(1.0, 32.90966090344452)	(2.0, 12.817752979537774)	(3.0, 6.952407066796466)	(4.0, 4.263457569572921)	(5.0, 2.842489242527119)	(6.0, 2.1127353539511873)	(7.0, 1.6846334248738868)	(8.0, 1.327207292015289)	(9.0, 1.1297944428378865)	('>10', 11.444405643916248)	('>50', 2.720815190607796)	('>100', 3.8739964404990266)	('>500', 1.1549646235003395)	('>1k', 2.3908149183383838)	('>5k', 1.1716657170138798)	('>10k+', 11.203199190567076)
SRR14240787_1	(1.0, 23.471362808203644)	(2.0, 10.057535382978845)	(3.0, 5.71394297088127)	(4.0, 3.8313268832134444)	(5.0, 2.82262383195774)	(6.0, 2.102339610639129)	(7.0, 1.7269852044351213)	(8.0, 1.5091679830353846)	(9.0, 1.1710101347368098)	('>10', 14.483155915304025)	('>50', 4.031844626922982)	('>100', 6.047157291775306)	('>500', 1.7688624939229318)	('>1k', 2.998077905593232)	('>5k', 1.2378601596793322)	('>10k+', 17.02674679672125)
SRR14240787_2	(1.0, 32.49328049924941)	(2.0, 11.003899534533854)	(3.0, 6.020893959003202)	(4.0, 3.6891910143389497)	(5.0, 2.5549407843421825)	(6.0, 1.995652906467998)	(7.0, 1.52817772990313)	(8.0, 1.309727883905717)	(9.0, 1.075499578870526)	('>10', 11.371554850481672)	('>50', 2.874048749290174)	('>100', 4.272591570123758)	('>500', 1.040028071204942)	('>1k', 2.2221250220969506)	('>5k', 1.092575121678957)	('>10k+', 15.455812724508569)
SRR14240788_1	(1.0, 22.728994032324827)	(2.0, 10.720972782316537)	(3.0, 5.620917340564109)	(4.0, 3.4940715643510507)	(5.0, 2.2893651326781623)	(6.0, 1.6835820435406108)	(7.0, 1.31092056830554)	(8.0, 1.1306600948089063)	(9.0, 0.9566542307595554)	('>10', 9.825934075647455)	('>50', 2.5525085320569194)	('>100', 4.2311012951933185)	('>500', 1.5245629678925)	('>1k', 3.5294743080727975)	('>5k', 1.9559383003619042)	('>10k+', 26.444342731125907)
SRR14240788_2	(1.0, 30.536075561237357)	(2.0, 11.767399548207363)	(3.0, 5.8290745330035305)	(4.0, 3.210764559787781)	(5.0, 2.118771691400907)	(6.0, 1.5609241821227222)	(7.0, 1.1514948295626473)	(8.0, 0.9082378249053981)	(9.0, 0.7649535102927835)	('>10', 7.663744300838195)	('>50', 2.0289747137967953)	('>100', 3.2691573396300346)	('>500', 1.1845907149502823)	('>1k', 3.258612280932468)	('>5k', 1.9373267802169192)	('>10k+', 22.80989762911472)
SRR14240789_1	(1.0, 12.870745554754889)	(2.0, 8.052752757066475)	(3.0, 5.646263719763364)	(4.0, 3.5031929525996244)	(5.0, 2.3337465157491795)	(6.0, 1.7022857209474613)	(7.0, 1.2638736944375215)	(8.0, 1.0401496165851074)	(9.0, 0.8880890286941931)	('>10', 9.613602294821083)	('>50', 2.764516893382847)	('>100', 4.4899894658115524)	('>500', 1.5736431741911958)	('>1k', 4.105051237955836)	('>5k', 2.3779793777173963)	('>10k+', 37.774117995522275)
SRR14240789_2	(1.0, 18.504458962355027)	(2.0, 8.813012920117885)	(3.0, 5.815329296319016)	(4.0, 3.674359997194755)	(5.0, 2.3748075589828765)	(6.0, 1.6872183466919588)	(7.0, 1.2534644646952875)	(8.0, 1.0273158283926382)	(9.0, 0.8873603402648345)	('>10', 9.00694070248678)	('>50', 2.453382376950842)	('>100', 3.912014523663067)	('>500', 1.3461614638587354)	('>1k', 3.8271364900084954)	('>5k', 2.544122583050446)	('>10k+', 32.87291414496729)
SRR14240790_1	(1.0, 23.145854095582028)	(2.0, 12.452502949138848)	(3.0, 7.311957059315308)	(4.0, 4.512661392874249)	(5.0, 3.0506739548727695)	(6.0, 2.091663402112552)	(7.0, 1.6768154722127462)	(8.0, 1.3679346080779589)	(9.0, 1.1434964348521608)	('>10', 10.770774560269558)	('>50', 2.5735735554390833)	('>100', 4.0605637838158)	('>500', 1.3747979056682653)	('>1k', 2.8012166461411776)	('>5k', 1.280431034130697)	('>10k+', 20.38508314549684)
SRR14240790_2	(1.0, 31.478741572482644)	(2.0, 14.211071041877114)	(3.0, 7.716618345650909)	(4.0, 4.2551748783789405)	(5.0, 2.61161210835448)	(6.0, 1.8254459533976586)	(7.0, 1.3325494112770482)	(8.0, 1.0016584025825341)	(9.0, 0.8102474194029987)	('>10', 7.672271241435581)	('>50', 1.9108340661571601)	('>100', 3.035691450242215)	('>500', 1.0330318404409031)	('>1k', 2.4611970425801712)	('>5k', 1.4928547240318784)	('>10k+', 17.151000501707916)
SRR14240791_1	(1.0, 18.861733374262897)	(2.0, 10.197692168364195)	(3.0, 6.34454819592624)	(4.0, 3.9446052735294708)	(5.0, 2.731913566607569)	(6.0, 2.0880071718518973)	(7.0, 1.6247142707793065)	(8.0, 1.4222348788607817)	(9.0, 1.1945593014258447)	('>10', 13.534893057497971)	('>50', 3.8059941943324835)	('>100', 5.9821278712281085)	('>500', 1.7607705784898924)	('>1k', 2.9774165203484633)	('>5k', 1.3630709400539374)	('>10k+', 22.165718636441227)
SRR14240791_2	(1.0, 27.227165232439994)	(2.0, 11.84712901888341)	(3.0, 7.068177663267532)	(4.0, 4.130022460449114)	(5.0, 2.875479698563326)	(6.0, 2.05989608387262)	(7.0, 1.5138417081004498)	(8.0, 1.2666242140704058)	(9.0, 1.0798132633056412)	('>10', 10.677466874672758)	('>50', 2.7716249284786483)	('>100', 3.886950443238798)	('>500', 1.0211288519870385)	('>1k', 2.351493095322987)	('>5k', 1.5195423685898621)	('>10k+', 18.70364409475726)
SRR14240792_1	(1.0, 19.346407751817544)	(2.0, 12.115489332541083)	(3.0, 8.123621469833433)	(4.0, 4.801007940294496)	(5.0, 3.2760852609564983)	(6.0, 2.377096563657023)	(7.0, 1.7781221778759948)	(8.0, 1.4301414194080844)	(9.0, 1.1552696113843028)	('>10', 11.208765438543763)	('>50', 2.320278266485317)	('>100', 3.426690499025252)	('>500', 1.0579465667123333)	('>1k', 2.5954502031374656)	('>5k', 1.183897301683526)	('>10k+', 23.803730196643897)
SRR14240792_2	(1.0, 34.054667978565774)	(2.0, 14.28978025352802)	(3.0, 8.67856294892961)	(4.0, 4.939973416646357)	(5.0, 3.1278779398612815)	(6.0, 2.050021118720233)	(7.0, 1.5735837835648308)	(8.0, 1.120428423285201)	(9.0, 0.9634208000684865)	('>10', 8.43684083883077)	('>50', 1.9766149295980373)	('>100', 3.1358932985739734)	('>500', 0.9928948530920797)	('>1k', 2.662915519560461)	('>5k', 1.534503093269302)	('>10k+', 10.462020803905721)
SRR14240793_1	(1.0, 27.135950876678887)	(2.0, 11.977470575236342)	(3.0, 6.795553820978499)	(4.0, 4.290390899221124)	(5.0, 3.058792018118363)	(6.0, 2.287061033724043)	(7.0, 1.7968615148238851)	(8.0, 1.5437863318120792)	(9.0, 1.2661034850848887)	('>10', 12.202778865713125)	('>50', 2.736219145618001)	('>100', 3.8390782900042804)	('>500', 1.1950585393157143)	('>1k', 2.63302484251788)	('>5k', 1.3755653061146507)	('>10k+', 15.866304455038172)
SRR14240793_2	(1.0, 36.03804666276251)	(2.0, 12.811449139261889)	(3.0, 6.822498455921328)	(4.0, 4.026810104924246)	(5.0, 2.6391012555681574)	(6.0, 1.87218640655795)	(7.0, 1.4503825457796422)	(8.0, 1.1452046767106772)	(9.0, 0.9033046450027474)	('>10', 8.71109171252478)	('>50', 1.826878386133942)	('>100', 2.969796260541707)	('>500', 1.0770789219088328)	('>1k', 2.180910526923001)	('>5k', 1.2857545605733052)	('>10k+', 14.239505738905184)
SRR14240794_1	(1.0, 23.301843249683454)	(2.0, 8.851567029191072)	(3.0, 4.7021626008504676)	(4.0, 2.7279382635879235)	(5.0, 1.8800330690210227)	(6.0, 1.3175511165180276)	(7.0, 1.067579087471005)	(8.0, 0.889046990544805)	(9.0, 0.7106722485134539)	('>10', 8.216356281648661)	('>50', 2.2472899004834823)	('>100', 3.884023997988284)	('>500', 1.3845257488018303)	('>1k', 3.680554412525034)	('>5k', 2.1664157577689966)	('>10k+', 32.97244024540286)
SRR14240794_2	(1.0, 33.87130733329774)	(2.0, 8.821325383816122)	(3.0, 4.5887212054139335)	(4.0, 2.586660564072493)	(5.0, 1.6025706280487675)	(6.0, 1.2081663141254437)	(7.0, 0.8743387366960816)	(8.0, 0.777571382330914)	(9.0, 0.597828598719522)	('>10', 7.100461246132619)	('>50', 2.05500457674207)	('>100', 3.0329903805923792)	('>500', 1.0448485771496452)	('>1k', 3.474589412621052)	('>5k', 2.3882681373220382)	('>10k+', 25.975347522919318)
SRR14240795_1	(1.0, 18.657111453085882)	(2.0, 9.215448784822744)	(3.0, 5.24702004609221)	(4.0, 3.120088061798204)	(5.0, 2.1690078967730506)	(6.0, 1.5765107587584946)	(7.0, 1.2937869785344356)	(8.0, 1.07815890784051)	(9.0, 0.9527440996807788)	('>10', 10.061546991536728)	('>50', 3.096968837050185)	('>100', 5.67721781493297)	('>500', 1.916543584554093)	('>1k', 3.665151342166511)	('>5k', 1.5742453827747547)	('>10k+', 30.69844905959838)
SRR14240795_2	(1.0, 24.520214160655527)	(2.0, 9.859119234109881)	(3.0, 5.266488229525417)	(4.0, 2.9840427535717153)	(5.0, 2.0591553730061114)	(6.0, 1.4989308847006877)	(7.0, 1.149772528139365)	(8.0, 0.9251886684929181)	(9.0, 0.7906469234896447)	('>10', 8.771421415222452)	('>50', 2.797320684507591)	('>100', 4.887054037215394)	('>500', 1.4103229692085062)	('>1k', 2.8772821630873797)	('>5k', 1.2878274507706564)	('>10k+', 28.91521252429714)
SRR14240796_1	(1.0, 26.35875971460559)	(2.0, 12.457900294014838)	(3.0, 6.7854377161700565)	(4.0, 3.9916973814937395)	(5.0, 2.697963929125863)	(6.0, 1.9755649543566807)	(7.0, 1.6034866937378)	(8.0, 1.1727463232168511)	(9.0, 1.0726362029319325)	('>10', 10.56196275052908)	('>50', 2.4619226750000522)	('>100', 3.8592266869373795)	('>500', 1.2631591913734206)	('>1k', 2.966606159773168)	('>5k', 1.62206474155315)	('>10k+', 19.148864585180362)
SRR14240796_2	(1.0, 33.246639146364366)	(2.0, 13.134000806741163)	(3.0, 6.663048999530083)	(4.0, 3.8151619402426196)	(5.0, 2.488269682706879)	(6.0, 1.798339407102267)	(7.0, 1.3560442003843347)	(8.0, 1.0426496781984491)	(9.0, 0.871083519513213)	('>10', 8.239437303584136)	('>50', 1.9288086615000528)	('>100', 3.035135468684018)	('>500', 0.9241090354790846)	('>1k', 2.4117377630669754)	('>5k', 1.641398757435155)	('>10k+', 17.404135629467323)
SRR14240797_1	(1.0, 18.239347438442994)	(2.0, 10.334344003979968)	(3.0, 6.607798427222876)	(4.0, 4.203477272950914)	(5.0, 2.8918686269796154)	(6.0, 2.0980978015983465)	(7.0, 1.7440250396803458)	(8.0, 1.4147206593566577)	(9.0, 1.174853321131944)	('>10', 12.607765522991023)	('>50', 3.2043070180526865)	('>100', 4.819402271892535)	('>500', 1.5092251947492796)	('>1k', 3.3377904254771567)	('>5k', 1.4547200913429705)	('>10k+', 24.358256884150705)
SRR14240797_2	(1.0, 26.112420959107645)	(2.0, 11.092360647305176)	(3.0, 6.8378722495009745)	(4.0, 4.2354598320949535)	(5.0, 2.773441199936321)	(6.0, 2.0104892785392887)	(7.0, 1.601336289053834)	(8.0, 1.2646885472067049)	(9.0, 1.0089184823172923)	('>10', 9.857353072160075)	('>50', 2.3692139664797205)	('>100', 3.756367609404867)	('>500', 1.193290022202353)	('>1k', 2.5811201131341805)	('>5k', 1.4676882575597217)	('>10k+', 21.837979473996967)
SRR14240798_1	(1.0, 33.785643045953506)	(2.0, 8.183527341802455)	(3.0, 4.302348773364686)	(4.0, 2.742788178823766)	(5.0, 1.9557894643631588)	(6.0, 1.567276329327898)	(7.0, 1.2550436873249922)	(8.0, 1.0916920189445822)	(9.0, 0.8705596215236456)	('>10', 10.159591887692306)	('>50', 2.7961612858887754)	('>100', 4.398762165179249)	('>500', 1.3886738184353928)	('>1k', 3.0280779743994657)	('>5k', 1.5991136033839406)	('>10k+', 20.87495080359224)
SRR14240798_2	(1.0, 41.86029782189176)	(2.0, 8.106025882999218)	(3.0, 4.012613700648187)	(4.0, 2.352696497632252)	(5.0, 1.723425762170278)	(6.0, 1.3083681149712378)	(7.0, 1.060744216157141)	(8.0, 0.9165972288038867)	(9.0, 0.7831028202366768)	('>10', 8.345528419866099)	('>50', 2.3040025798455965)	('>100', 3.2393540311569353)	('>500', 0.9794463660584415)	('>1k', 2.4856021975811884)	('>5k', 1.388642052496107)	('>10k+', 19.133552307484983)
