Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR14240741_1	(1.0, 18.66074585057233)	(2.0, 14.874027590747888)	(3.0, 9.47202970994143)	(4.0, 5.973458017346953)	(5.0, 4.126079389292297)	(6.0, 2.929721323190835)	(7.0, 2.2778051583258394)	(8.0, 1.9167686412600538)	(9.0, 1.5371422089068048)	('>10', 15.684330611034852)	('>50', 3.266024995738793)	('>100', 4.401085288644004)	('>500', 1.1648033064276746)	('>1k', 2.2801246295505866)	('>5k', 0.7714814413238136)	('>10k+', 10.66437183769613)
SRR14240741_2	(1.0, 26.471918618129365)	(2.0, 18.40631470499729)	(3.0, 10.743681086019615)	(4.0, 6.252548219991305)	(5.0, 3.8581066173868384)	(6.0, 2.693272188532957)	(7.0, 1.9891606337212167)	(8.0, 1.5548337588444152)	(9.0, 1.267038396868512)	('>10', 10.208302168910874)	('>50', 1.9780178383792708)	('>100', 2.9746009323505453)	('>500', 0.8608544611692862)	('>1k', 1.822113889762849)	('>5k', 1.0310290142267848)	('>10k+', 7.888207470709206)
SRR14240742_1	(1.0, 38.63345483405029)	(2.0, 16.761009085636598)	(3.0, 7.9602514320725275)	(4.0, 4.521940726671161)	(5.0, 2.957999691045522)	(6.0, 2.133242958299799)	(7.0, 1.5862039531950356)	(8.0, 1.3380483281370237)	(9.0, 1.0409051744634312)	('>10', 9.244067988439003)	('>50', 1.7564934453910257)	('>100', 2.6912152753163556)	('>500', 0.7745602244804377)	('>1k', 1.590690839028423)	('>5k', 0.8623448725815462)	('>10k+', 6.147571171191823)
SRR14240742_2	(1.0, 46.56972198919762)	(2.0, 17.72970196593722)	(3.0, 7.39453129647305)	(4.0, 3.8784331041975886)	(5.0, 2.3062234878171406)	(6.0, 1.6201178509104481)	(7.0, 1.2047057425881686)	(8.0, 0.8954880178181416)	(9.0, 0.7308734684690587)	('>10', 6.25266414718683)	('>50', 1.347470396845371)	('>100', 1.8730037894854552)	('>500', 0.6038751630829334)	('>1k', 1.6924529281832068)	('>5k', 1.119476347567608)	('>10k+', 4.781260304240183)
SRR14240743_1	(1.0, 22.636820523719425)	(2.0, 11.945202148246938)	(3.0, 5.610292989729496)	(4.0, 3.0339640543717983)	(5.0, 1.8749217085244436)	(6.0, 1.3728007141944158)	(7.0, 1.04171441681738)	(8.0, 0.8432089422807085)	(9.0, 0.6802435474151749)	('>10', 6.6409057220508)	('>50', 1.8801941172530954)	('>100', 3.7093119842283633)	('>500', 1.3928478423223878)	('>1k', 3.320180482420787)	('>5k', 1.603820908969933)	('>10k+', 32.41356989745477)
SRR14240743_2	(1.0, 27.201862739020083)	(2.0, 12.52836514715213)	(3.0, 5.466875456403071)	(4.0, 2.698167382675156)	(5.0, 1.6644540299960024)	(6.0, 1.103937395534018)	(7.0, 0.816955221706476)	(8.0, 0.6387275969320723)	(9.0, 0.5100535099312293)	('>10', 5.681448959896295)	('>50', 1.7853030911351941)	('>100', 3.0448406652782167)	('>500', 1.1319799356420819)	('>1k', 2.877212235858086)	('>5k', 1.5777829869250026)	('>10k+', 31.272033645914743)
SRR14240744_1	(1.0, 20.174008865079234)	(2.0, 15.233904570761972)	(3.0, 8.991582814739859)	(4.0, 5.616712308011573)	(5.0, 3.669069122827823)	(6.0, 2.6218299725749525)	(7.0, 2.0888688618774633)	(8.0, 1.6213382548195296)	(9.0, 1.3019005628602933)	('>10', 12.57009774321822)	('>50', 2.7803266914330664)	('>100', 3.9580579641971716)	('>500', 1.3003006288498022)	('>1k', 2.642809352366859)	('>5k', 1.2884420081403907)	('>10k+', 14.140750278241757)
SRR14240744_2	(1.0, 25.35153583567249)	(2.0, 16.883488829579782)	(3.0, 9.65231378919448)	(4.0, 5.492078020217475)	(5.0, 3.5714369814141653)	(6.0, 2.3779833403803665)	(7.0, 1.8764737578356985)	(8.0, 1.4294798706350949)	(9.0, 1.1345272676842326)	('>10', 9.822577669954024)	('>50', 2.094298332844028)	('>100', 3.333583961932639)	('>500', 0.9690872532723345)	('>1k', 2.162381860229938)	('>5k', 1.4109830078608814)	('>10k+', 12.437770221292501)
SRR14240745_1	(1.0, 23.64162643011959)	(2.0, 14.778778442517146)	(3.0, 7.884596915438401)	(4.0, 4.629944591679602)	(5.0, 3.109849618820811)	(6.0, 2.1278317928871973)	(7.0, 1.6235532120716034)	(8.0, 1.2839466036462412)	(9.0, 1.085771048730727)	('>10', 9.595880829417764)	('>50', 2.0815408387246785)	('>100', 3.34801589453376)	('>500', 1.1558228006273779)	('>1k', 2.5325663444312445)	('>5k', 1.284840506205206)	('>10k+', 19.835434130148542)
SRR14240745_2	(1.0, 30.8434375424017)	(2.0, 16.43659320079825)	(3.0, 8.007786887689559)	(4.0, 4.198943311154017)	(5.0, 2.5309192576531436)	(6.0, 1.640696615780438)	(7.0, 1.2679814667696587)	(8.0, 1.0018375017873662)	(9.0, 0.7865231214609303)	('>10', 6.630248476506634)	('>50', 1.5557468142997688)	('>100', 2.67173340642971)	('>500', 0.9570169207641076)	('>1k', 2.4949984506339726)	('>5k', 1.4511403273831405)	('>10k+', 17.524396698487617)
SRR14240746_1	(1.0, 16.625794788261146)	(2.0, 12.994785357580021)	(3.0, 7.802724646709917)	(4.0, 4.502803661677667)	(5.0, 2.9275702970602864)	(6.0, 2.1063951319810372)	(7.0, 1.5574978407629503)	(8.0, 1.2324172330357548)	(9.0, 1.0431174039584052)	('>10', 9.890004457104622)	('>50', 2.4439879908623334)	('>100', 4.320925314338051)	('>500', 1.5202537441120025)	('>1k', 3.2512005053673616)	('>5k', 1.7822914694582561)	('>10k+', 25.998230157730397)
SRR14240746_2	(1.0, 20.42302568750055)	(2.0, 14.20161252497087)	(3.0, 8.31795039800517)	(4.0, 4.579847448790221)	(5.0, 2.8172735662232844)	(6.0, 1.9272298077396066)	(7.0, 1.3575581110462893)	(8.0, 1.0352214049281638)	(9.0, 0.9075453114872347)	('>10', 7.86096658836687)	('>50', 2.22386203303834)	('>100', 3.7074709325454127)	('>500', 1.18746665757438)	('>1k', 2.836579866031308)	('>5k', 1.7283107368431114)	('>10k+', 24.88807892490927)
SRR14240747_1	(1.0, 25.619392191985597)	(2.0, 14.509758940939243)	(3.0, 7.964268332511132)	(4.0, 4.899749625303445)	(5.0, 3.3515849820943058)	(6.0, 2.538212343769162)	(7.0, 1.9094923876830427)	(8.0, 1.6116933773426194)	(9.0, 1.3734992427020962)	('>10', 13.55629360045427)	('>50', 3.031513857116106)	('>100', 4.451355771758712)	('>500', 1.2628899145808352)	('>1k', 2.5632235940099424)	('>5k', 0.8455490785129569)	('>10k+', 10.511522759236527)
