Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR14240743_2	(37, 14102.0)	(42, 7984.0)	(47, 14916.0)	(52, 29494.0)	(57, 52657.0)	(62, 109539.0)	(67, 202414.0)	(72, 374127.0)	(77, 632187.0)	(82, 975874.0)	(87, 1363538.0)	(92, 1990094.0)	(97, 2658608.0)	(102, 2821865.0)	(107, 2764623.0)	(112, 2854984.0)	(117, 3296393.0)	(122, 3191888.0)	(127, 3145555.0)	(132, 2655177.0)	(137, 2608793.0)	(142, 2384978.0)	(147, 5634699.0)	(151, 26928554.0)
SRR14240744_1	(37, 1618346.0)	(42, 13673.0)	(47, 25636.0)	(52, 53765.0)	(57, 95806.0)	(62, 202492.0)	(67, 364497.0)	(72, 666548.0)	(77, 1148949.0)	(82, 1867358.0)	(87, 2714718.0)	(92, 3751444.0)	(97, 4777196.0)	(102, 5121916.0)	(107, 5448955.0)	(112, 5401742.0)	(117, 5579097.0)	(122, 5334628.0)	(127, 5254867.0)	(132, 4745803.0)	(137, 4599751.0)	(142, 4151529.0)	(147, 8302969.0)	(151, 42998591.0)
SRR14240744_2	(37, 21673.0)	(42, 13413.0)	(47, 25325.0)	(52, 53230.0)	(57, 94737.0)	(62, 199940.0)	(67, 360601.0)	(72, 658917.0)	(77, 1136581.0)	(82, 1845025.0)	(87, 2684268.0)	(92, 3707391.0)	(97, 4722165.0)	(102, 5063685.0)	(107, 5382643.0)	(112, 5335943.0)	(117, 5511789.0)	(122, 5270302.0)	(127, 5186214.0)	(132, 4683427.0)	(137, 4539749.0)	(142, 4135065.0)	(147, 9050265.0)	(151, 44557928.0)
SRR14240745_1	(37, 1222216.0)	(42, 8016.0)	(47, 15093.0)	(52, 29808.0)	(57, 56419.0)	(62, 118970.0)	(67, 218982.0)	(72, 409361.0)	(77, 695043.0)	(82, 1096202.0)	(87, 1534340.0)	(92, 2142091.0)	(97, 2856523.0)	(102, 3120999.0)	(107, 3143091.0)	(112, 3319177.0)	(117, 3735011.0)	(122, 3528349.0)	(127, 3414433.0)	(132, 3040613.0)	(137, 2971596.0)	(142, 2703435.0)	(147, 5831091.0)	(151, 32399204.0)
SRR14240745_2	(37, 30962.0)	(42, 7759.0)	(47, 14677.0)	(52, 29425.0)	(57, 55287.0)	(62, 116565.0)	(67, 215695.0)	(72, 403202.0)	(77, 685014.0)	(82, 1078969.0)	(87, 1511138.0)	(92, 2107547.0)	(97, 2812066.0)	(102, 3075850.0)	(107, 3093745.0)	(112, 3252610.0)	(117, 3664553.0)	(122, 3465000.0)	(127, 3352538.0)	(132, 2988325.0)	(137, 2921753.0)	(142, 2682780.0)	(147, 6630537.0)	(151, 33414066.0)
SRR14240746_1	(37, 820036.0)	(42, 12426.0)	(47, 22382.0)	(52, 42816.0)	(57, 72822.0)	(62, 144176.0)	(67, 260756.0)	(72, 470095.0)	(77, 821684.0)	(82, 1331573.0)	(87, 1971838.0)	(92, 2887083.0)	(97, 3919212.0)	(102, 4265809.0)	(107, 4468198.0)	(112, 4474868.0)	(117, 4942837.0)	(122, 4708443.0)	(127, 4771659.0)	(132, 4140610.0)	(137, 4056043.0)	(142, 3639809.0)	(147, 7008530.0)	(151, 39212272.0)
SRR14240746_2	(37, 42853.0)	(42, 12182.0)	(47, 22014.0)	(52, 42239.0)	(57, 71807.0)	(62, 141949.0)	(67, 257546.0)	(72, 464000.0)	(77, 810529.0)	(82, 1313375.0)	(87, 1946106.0)	(92, 2848469.0)	(97, 3868291.0)	(102, 4217003.0)	(107, 4410592.0)	(112, 4407377.0)	(117, 4869313.0)	(122, 4646604.0)	(127, 4704125.0)	(132, 4081503.0)	(137, 4001976.0)	(142, 3622556.0)	(147, 8115744.0)	(151, 39547824.0)
SRR14240747_1	(37, 805382.0)	(42, 5377.0)	(47, 11126.0)	(52, 25025.0)	(57, 50971.0)	(62, 116180.0)	(67, 223413.0)	(72, 417130.0)	(77, 714956.0)	(82, 1119793.0)	(87, 1557337.0)	(92, 2053248.0)	(97, 2579543.0)	(102, 2808225.0)	(107, 2916015.0)	(112, 3030946.0)	(117, 3256446.0)	(122, 3151639.0)	(127, 3066839.0)	(132, 2861997.0)	(137, 2811434.0)	(142, 2605480.0)	(147, 5771400.0)	(151, 31534814.0)
SRR14240747_2	(37, 13349.0)	(42, 5326.0)	(47, 11059.0)	(52, 24808.0)	(57, 50493.0)	(62, 114936.0)	(67, 221189.0)	(72, 412797.0)	(77, 707379.0)	(82, 1107257.0)	(87, 1540747.0)	(92, 2029788.0)	(97, 2550782.0)	(102, 2777879.0)	(107, 2882045.0)	(112, 2988589.0)	(117, 3211796.0)	(122, 3112382.0)	(127, 3027888.0)	(132, 2825702.0)	(137, 2774927.0)	(142, 2593416.0)	(147, 6399773.0)	(151, 32110409.0)
SRR14240748_1	(37, 2373099.0)	(42, 11192.0)	(47, 20552.0)	(52, 41477.0)	(57, 72603.0)	(62, 150905.0)	(67, 276486.0)	(72, 498666.0)	(77, 869836.0)	(82, 1431594.0)	(87, 2090402.0)	(92, 2952611.0)	(97, 3852314.0)	(102, 4189166.0)	(107, 4426840.0)	(112, 4431069.0)	(117, 4620027.0)	(122, 4462418.0)	(127, 4343413.0)	(132, 3993500.0)	(137, 3873295.0)	(142, 3554231.0)	(147, 6907579.0)	(151, 36371673.0)
SRR14240748_2	(37, 13072.0)	(42, 10988.0)	(47, 20262.0)	(52, 41041.0)	(57, 71760.0)	(62, 148780.0)	(67, 273092.0)	(72, 492035.0)	(77, 858408.0)	(82, 1411410.0)	(87, 2062160.0)	(92, 2911304.0)	(97, 3798213.0)	(102, 4131083.0)	(107, 4361360.0)	(112, 4358352.0)	(117, 4545214.0)	(122, 4392891.0)	(127, 4270979.0)	(132, 3926705.0)	(137, 3810021.0)	(142, 3529661.0)	(147, 7704327.0)	(151, 38671830.0)
SRR14240749_1	(37, 932817.0)	(42, 8974.0)	(47, 16790.0)	(52, 34050.0)	(57, 62652.0)	(62, 133899.0)	(67, 242992.0)	(72, 445069.0)	(77, 766282.0)	(82, 1220607.0)	(87, 1810025.0)	(92, 2507594.0)	(97, 3418365.0)	(102, 3890911.0)	(107, 4208764.0)	(112, 4300207.0)	(117, 4810201.0)	(122, 4551349.0)	(127, 4566355.0)	(132, 4126121.0)	(137, 4077950.0)	(142, 3696611.0)	(147, 7599452.0)	(151, 39848276.0)
SRR14240749_2	(37, 16548.0)	(42, 8916.0)	(47, 16687.0)	(52, 33861.0)	(57, 62239.0)	(62, 132714.0)	(67, 241102.0)	(72, 440806.0)	(77, 759179.0)	(82, 1207665.0)	(87, 1791126.0)	(92, 2479098.0)	(97, 3378685.0)	(102, 3847738.0)	(107, 4158542.0)	(112, 4240955.0)	(117, 4744186.0)	(122, 4494708.0)	(127, 4505565.0)	(132, 4072202.0)	(137, 4023478.0)	(142, 3687638.0)	(147, 8464247.0)	(151, 40468428.0)
SRR14240750_1	(37, 1518717.0)	(42, 10704.0)	(47, 20667.0)	(52, 43823.0)	(57, 83335.0)	(62, 180653.0)	(67, 333062.0)	(72, 590375.0)	(77, 998819.0)	(82, 1551478.0)	(87, 2110979.0)	(92, 2747570.0)	(97, 3429203.0)	(102, 3678320.0)	(107, 3718622.0)	(112, 3714540.0)	(117, 3992099.0)	(122, 3771719.0)	(127, 3656934.0)	(132, 3364092.0)	(137, 3278021.0)	(142, 2995981.0)	(147, 6311018.0)	(151, 34139679.0)
SRR14240750_2	(37, 47446.0)	(42, 10608.0)	(47, 20495.0)	(52, 43402.0)	(57, 82435.0)	(62, 178187.0)	(67, 329723.0)	(72, 584347.0)	(77, 987735.0)	(82, 1533063.0)	(87, 2086722.0)	(92, 2715717.0)	(97, 3389362.0)	(102, 3640174.0)	(107, 3676959.0)	(112, 3659858.0)	(117, 3934126.0)	(122, 3723860.0)	(127, 3607977.0)	(132, 3321124.0)	(137, 3235992.0)	(142, 2985129.0)	(147, 7017876.0)	(151, 35428093.0)
SRR14240751_1	(37, 4143389.0)	(42, 23307.0)	(47, 40678.0)	(52, 75827.0)	(57, 131957.0)	(62, 266191.0)	(67, 462614.0)	(72, 745802.0)	(77, 1144967.0)	(82, 1594176.0)	(87, 2058115.0)	(92, 2649973.0)	(97, 3390395.0)	(102, 3630169.0)	(107, 3574350.0)	(112, 3393542.0)	(117, 3835051.0)	(122, 3469662.0)	(127, 3207944.0)	(132, 2797883.0)	(137, 2775454.0)	(142, 2577710.0)	(147, 4852476.0)	(151, 24812185.0)
SRR14240751_2	(37, 201219.0)	(42, 22948.0)	(47, 40264.0)	(52, 75050.0)	(57, 130378.0)	(62, 262824.0)	(67, 457568.0)	(72, 737468.0)	(77, 1131961.0)	(82, 1575056.0)	(87, 2033596.0)	(92, 2615701.0)	(97, 3348585.0)	(102, 3587814.0)	(107, 3530631.0)	(112, 3335536.0)	(117, 3771285.0)	(122, 3427100.0)	(127, 3168015.0)	(132, 2764449.0)	(137, 2742977.0)	(142, 2567540.0)	(147, 5544904.0)	(151, 28580948.0)
SRR14240752_1	(37, 717894.0)	(42, 4617.0)	(47, 8112.0)	(52, 15972.0)	(57, 29356.0)	(62, 63178.0)	(67, 120762.0)	(72, 222231.0)	(77, 391896.0)	(82, 663517.0)	(87, 937547.0)	(92, 1339298.0)	(97, 1734390.0)	(102, 1904717.0)	(107, 2087509.0)	(112, 2266348.0)	(117, 2518981.0)	(122, 2585330.0)	(127, 2589856.0)	(132, 2511180.0)	(137, 2577184.0)	(142, 2467063.0)	(147, 6034294.0)	(151, 35811081.0)
SRR14240752_2	(37, 9782.0)	(42, 4545.0)	(47, 7999.0)	(52, 15783.0)	(57, 29038.0)	(62, 62203.0)	(67, 119191.0)	(72, 219213.0)	(77, 386084.0)	(82, 653633.0)	(87, 923862.0)	(92, 1318299.0)	(97, 1708152.0)	(102, 1876500.0)	(107, 2053025.0)	(112, 2223397.0)	(117, 2474482.0)	(122, 2541677.0)	(127, 2541847.0)	(132, 2466076.0)	(137, 2531209.0)	(142, 2450834.0)	(147, 6770754.0)	(151, 36214728.0)
SRR14240753_1	(37, 1269261.0)	(42, 10541.0)	(47, 20701.0)	(52, 45744.0)	(57, 79106.0)	(62, 167745.0)	(67, 294008.0)	(72, 527357.0)	(77, 889534.0)	(82, 1418693.0)	(87, 2073222.0)	(92, 2870552.0)	(97, 3752975.0)	(102, 4194602.0)	(107, 4551399.0)	(112, 4612431.0)	(117, 4831543.0)	(122, 4701313.0)	(127, 4626400.0)	(132, 4289722.0)	(137, 4137878.0)	(142, 3795898.0)	(147, 7315264.0)	(151, 36907721.0)
SRR14240753_2	(37, 9816.0)	(42, 10374.0)	(47, 20386.0)	(52, 45183.0)	(57, 77988.0)	(62, 165226.0)	(67, 289535.0)	(72, 518925.0)	(77, 875784.0)	(82, 1395004.0)	(87, 2040559.0)	(92, 2822979.0)	(97, 3692143.0)	(102, 4126056.0)	(107, 4474196.0)	(112, 4531015.0)	(117, 4748911.0)	(122, 4617884.0)	(127, 4543176.0)	(132, 4209939.0)	(137, 4068002.0)	(142, 3766405.0)	(147, 8092307.0)	(151, 38241817.0)
SRR14240754_1	(37, 3116796.0)	(42, 15402.0)	(47, 27081.0)	(52, 48431.0)	(57, 77386.0)	(62, 151417.0)	(67, 265400.0)	(72, 435706.0)	(77, 719086.0)	(82, 1070766.0)	(87, 1478990.0)	(92, 1999738.0)	(97, 2579815.0)	(102, 2652390.0)	(107, 2762457.0)	(112, 2574382.0)	(117, 2822510.0)	(122, 2533499.0)	(127, 2522464.0)	(132, 2184474.0)	(137, 2182842.0)	(142, 1919207.0)	(147, 3967943.0)	(151, 22790027.0)
SRR14240754_2	(37, 28948.0)	(42, 15114.0)	(47, 26626.0)	(52, 47582.0)	(57, 75926.0)	(62, 148217.0)	(67, 260665.0)	(72, 427356.0)	(77, 706599.0)	(82, 1050888.0)	(87, 1453603.0)	(92, 1964439.0)	(97, 2536187.0)	(102, 2607846.0)	(107, 2713795.0)	(112, 2529839.0)	(117, 2778083.0)	(122, 2486579.0)	(127, 2473574.0)	(132, 2144565.0)	(137, 2146459.0)	(142, 1906183.0)	(147, 4625538.0)	(151, 25743598.0)
SRR14240755_1	(37, 1784939.0)	(42, 11151.0)	(47, 20598.0)	(52, 42438.0)	(57, 71793.0)	(62, 148037.0)	(67, 260725.0)	(72, 463835.0)	(77, 795529.0)	(82, 1298354.0)	(87, 1890700.0)	(92, 2590285.0)	(97, 3352882.0)	(102, 3589103.0)	(107, 3881585.0)	(112, 3810152.0)	(117, 3972345.0)	(122, 3766683.0)	(127, 3776610.0)	(132, 3453719.0)	(137, 3383025.0)	(142, 3052803.0)	(147, 6373969.0)	(151, 33866512.0)
SRR14240755_2	(37, 30655.0)	(42, 10986.0)	(47, 20271.0)	(52, 42020.0)	(57, 70811.0)	(62, 145895.0)	(67, 257251.0)	(72, 457103.0)	(77, 784016.0)	(82, 1277481.0)	(87, 1861227.0)	(92, 2548607.0)	(97, 3299260.0)	(102, 3530843.0)	(107, 3814417.0)	(112, 3747984.0)	(117, 3910605.0)	(122, 3700203.0)	(127, 3704540.0)	(132, 3386756.0)	(137, 3319954.0)	(142, 3030057.0)	(147, 7008801.0)	(151, 35698029.0)
